dimension,name,row_count,unique_symbol_count,missed_count,order_guard_block_count,time_policy_block_count,good_reject_count,avg_mfe_pct,max_mfe_pct,theme_blank_count
theme,(blank),465,81,107,67,213,126,0.06293391311943916,0.2590673575129534,465
sector,전기/전자,178,26,85,58,30,43,0.2598281203418691,27.15,105
theme,반도체_후공정소재,34,1,34,32,0,0,0.0665261434484969,0.12286689419795227,0
sector,운송장비/부품,31,5,23,23,3,5,0.15462351877913577,0.23177570093457933,24
sector,금융,52,7,21,21,9,22,0.059469847566329594,0.1322360953461974,40
sector,제약,72,12,12,1,60,3,0.06591600761336146,0.23923444976076547,51
sector,IT 서비스,34,9,12,4,19,9,0.058915469296014794,0.15930787589498796,25
theme,네트워크/광통신,12,1,12,12,0,0,0.05597964376590325,0.056488549618320505,0
theme,통신장비,12,1,12,12,0,0,0.05597964376590325,0.056488549618320505,0
sector,의료/정밀기기,17,7,8,8,6,3,0.19389366355305368,0.2590673575129534,17
theme,셋톱박스,8,1,8,0,1,0,0.19019836639439913,0.19019836639439913,0
sector,화학,63,7,5,5,55,3,0.02039216048893634,0.050434782608695716,54
theme,LCD_소재,5,1,5,5,0,0,0.050434782608695716,0.050434782608695716,0
theme,반도체_전공정소재,5,1,5,5,0,0,0.050434782608695716,0.050434782608695716,0
theme,소프트웨어_자동차용,4,1,4,4,0,0,0.09224011713030755,0.09224011713030755,0
theme,자동차_전장화 수혜,4,1,4,4,0,0,0.09224011713030755,0.09224011713030755,0
sector,기계/장비,43,7,3,0,10,21,0.015160307807997314,0.06635071090047395,31
sector,보험,26,4,2,15,4,6,0.041729761049288994,0.0789825970548863,3
theme,보험_손해보험,8,2,2,0,1,6,0.03402229900991449,0.0789825970548863,0
theme,반도체_생산,1,1,1,0,1,0,27.15,27.15,0
sector,유통,14,5,1,0,2,7,0.05149160998043992,0.2052194543297745,13
sector,(blank),26,1,1,0,26,0,0.1282051282051282,0.1282051282051282,26
sector,운송/창고,79,5,1,7,23,13,0.018963094085778526,0.07414104882459305,1
theme,운송_해운,71,3,1,7,23,5,0.026487888758011224,0.07414104882459305,0
sector,일반서비스,64,13,0,0,18,43,0.02552069521797162,0.048034934497816595,58
theme,보험_생명보험,15,1,0,15,0,0,0.045840407470288724,0.045840407470288724,0
theme,AMOLED_장비,10,1,0,0,0,1,0.04073107049608349,0.04073107049608349,0
theme,LCD_장비,10,1,0,0,0,1,0.04073107049608349,0.04073107049608349,0
theme,반도체_전공정장비,12,2,0,0,2,1,0.04073107049608349,0.04073107049608349,0
theme,태양광_부품/소재/장비,14,2,0,0,1,4,0.012515146138051625,0.04073107049608349,0
theme,반도체_설계(fabless),4,1,0,0,2,2,0.03755868544600949,0.03755868544600949,0
sector,금속,24,6,0,0,19,5,0.029384797657864014,0.03466204506065851,6
theme,강관,14,1,0,0,11,3,0.03466204506065851,0.03466204506065851,0
theme,바이오_진단/백신,20,2,0,0,20,0,0.02081362346263016,0.02081362346263016,0
sector,전기/가스,4,1,0,0,1,0,0.0205920205920207,0.0205920205920207,4
theme,SNS(Social Network Service),5,1,0,0,0,5,0.016412661195779554,0.016412661195779554,0
theme,게임_모바일,5,1,0,0,0,5,0.016412661195779554,0.016412661195779554,0
sector,음식료/담배,2,1,0,0,1,1,0.015296367112810794,0.015296367112810794,0
theme,배합사료,2,1,0,0,1,1,0.015296367112810794,0.015296367112810794,0
theme,2차전지_소재(양극화물질등),12,1,0,0,0,12,0.0146276595744681,0.0146276595744681,0
theme,합성섬유_원료,12,1,0,0,0,12,0.0146276595744681,0.0146276595744681,0
sector,건설,7,1,0,0,1,0,0.01340033500837512,0.01340033500837512,0
theme,건설_국내주택,7,1,0,0,1,0,0.01340033500837512,0.01340033500837512,0
theme,건설_해외건설,14,3,0,0,4,1,0.012712191552283758,0.01340033500837512,0
theme,반도체_시스템반도체,5,1,0,0,0,5,0.0068807339449540985,0.008027522935779796,0
theme,반도체_후공정,5,1,0,0,0,5,0.0068807339449540985,0.008027522935779796,0
theme,조선_LNG보냉재,1,1,0,0,0,1,0.006521739130434856,0.006521739130434856,0
theme,방위산업,7,2,0,0,3,4,0.0015652206550291203,0.005418422636965792,0
theme,우주항공,8,2,0,0,7,1,0.004225105562104166,0.005418422636965792,0
theme,조선_Eco선,3,1,0,0,0,3,0.0002808199943835632,0.004212299915753892,0
theme,조선_해양플랜트,3,1,0,0,0,3,0.0002808199943835632,0.004212299915753892,0
theme,운송_항공,7,1,0,0,0,7,0.003523990241257887,0.00379506641366234,0
sector,오락/문화,13,3,0,0,13,0,,,7
theme,PCB(인쇄회로기판),1,1,0,0,1,0,,,0
theme,기계_공작기계,2,1,0,0,2,0,,,0
theme,무선충전기관련주,2,1,0,0,0,2,0.0,0.0,0
theme,바이오_줄기세포치료제,1,1,0,0,1,0,,,0
theme,백화점,1,1,0,0,1,0,,,0
theme,비철금속주,2,1,0,0,2,0,,,0
theme,컨텐츠_음원,6,2,0,0,6,0,,,0
theme,컨텐츠_한류,6,2,0,0,6,0,,,0
theme,코스닥_라이징스타,5,2,0,0,5,0,,,0
theme,코스닥_히든챔피언,3,1,0,0,3,0,,,0
theme,합성수지,1,1,0,0,1,0,,,0
